Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season Number,PER
1969-70,22,MIL,NBA,C,82.0,82.0,43.1,11.4,22.1,0.52,0,0,0,11.4,22.1,0.52,0.52,5.9,9.1,0.65,6.84,9.61,14.5,4.1,5.52,7.92,6.98,3.5,28.8,MVP-3ROY-1ASNBA2DEF2,1,21.87
1970-71,23,MIL,NBA,C,82.0,82.0,40.1,13.0,22.5,0.58,0,0,0,13.0,22.5,0.58,0.58,5.7,8.3,0.69,8.35,9.58,16.0,3.3,5.95,7.32,7.2,3.2,31.7,MVP-1ASNBA1DEF2,2,26.81
1971-72,24,MIL,NBA,C,81.0,81.0,44.2,14.3,24.9,0.57,0,0,0,14.3,24.9,0.57,0.57,6.2,9.0,0.69,8.94,10.13,16.6,4.6,6.3,9.7,8.78,2.9,34.8,MVP-1ASNBA1,3,27.44
1972-73,25,MIL,NBA,C,76.0,76.0,42.8,12.9,23.3,0.55,0,0,0,12.9,23.3,0.55,0.55,4.3,6.1,0.71,8.5,9.74,16.1,5.0,6.08,8.01,8.36,2.7,30.2,MVP-2ASNBA1,4,25.18
1973-74,26,MIL,NBA,C,81.0,81.0,43.8,11.7,21.7,0.54,0,0,0,11.7,21.7,0.54,0.54,3.6,5.2,0.7,3.5,11.0,14.5,4.8,1.4,3.5,3.45,2.9,27.0,MVP-1ASNBA1DEF1,5,20.74
1974-75,27,MIL,NBA,C,65.0,65.0,42.3,12.5,24.4,0.51,0,0,0,12.5,24.4,0.51,0.51,5.0,6.6,0.76,3.0,11.0,14.0,4.1,1.0,3.3,3.09,3.2,30.0,MVP-5ASDEF1,6,24.04
1975-76,28,LAL,NBA,C,82.0,82.0,41.2,11.1,21.1,0.53,0,0,0,11.1,21.1,0.53,0.53,5.5,7.8,0.7,3.3,13.5,16.9,5.0,1.5,4.1,2.07,3.6,27.7,MVP-1ASNBA1DEF2,7,22.59
1976-77,29,LAL,NBA,C,82.0,82.0,36.8,10.8,18.7,0.58,0,0,0,10.8,18.7,0.58,0.58,4.6,6.5,0.7,3.2,10.0,13.3,3.9,1.2,3.2,2.28,3.2,26.2,MVP-1ASNBA1DEF2,8,24.63
1977-78,30,LAL,NBA,C,62.0,62.0,36.5,10.7,19.4,0.55,0,0,0,10.7,19.4,0.55,0.55,4.4,5.6,0.78,3.0,9.9,12.9,4.3,1.7,3.0,3.4,2.9,25.8,MVP-4NBA2DEF2,9,23.82
1978-79,31,LAL,NBA,C,80.0,80.0,39.5,9.7,16.8,0.58,0,0,0,9.7,16.8,0.58,0.58,4.4,5.9,0.74,2.6,10.2,12.8,5.4,1.0,4.0,3.5,2.9,23.8,MVP-4ASNBA2DEF1,10,20.77
1979-80,32,LAL,NBA,C,82.0,82.0,38.3,10.2,16.9,0.6,0,0,0,10.2,16.9,0.6,0.6,4.4,5.8,0.76,2.3,8.5,10.8,4.5,1.0,3.4,3.6,2.6,24.8,MVP-1ASNBA1DEF1,11,22.5
1980-81,33,LAL,NBA,C,80.0,80.0,37.2,10.5,18.2,0.57,0,0,0,10.5,18.2,0.57,0.57,5.3,6.9,0.77,2.5,7.8,10.3,3.4,0.7,2.9,3.1,3.1,26.2,MVP-3ASNBA1DEF1,12,24.47
1981-82,34,LAL,NBA,C,76.0,76.0,35.2,9.9,17.1,0.58,0,0,0,9.9,17.1,0.58,0.58,4.1,5.8,0.71,2.3,6.4,8.7,3.0,0.8,2.7,3.0,2.9,23.9,MVP-10AS,13,23.43
1982-83,35,LAL,NBA,C,79.0,79.0,32.3,9.1,15.5,0.59,0,0,0,9.1,15.5,0.59,0.59,3.5,4.7,0.75,2.1,5.4,7.5,2.5,0.8,2.2,2.5,2.8,21.8,MVP-10ASNBA2,14,23.18
1983-84,36,LAL,NBA,C,80.0,80.0,32.8,9.0,15.5,0.58,0,0,0,9.0,15.5,0.58,0.58,3.6,4.9,0.72,2.1,5.2,7.3,2.6,0.7,1.8,2.8,2.6,21.5,MVP-4ASNBA1DEF2,15,22.3
1984-85,37,LAL,NBA,C,79.0,79.0,33.3,9.2,15.3,0.6,0,0,0,9.2,15.3,0.6,0.6,3.7,5.0,0.73,2.1,5.8,7.9,3.2,0.8,2.1,2.5,3.0,22.0,MVP-4ASNBA2,16,23.02
1985-86,38,LAL,NBA,C,79.0,79.0,33.3,9.6,16.9,0.56,0,0,0,9.6,16.9,0.56,0.56,4.3,5.6,0.76,1.7,4.4,6.1,3.5,0.8,1.6,2.6,3.1,23.4,MVP-5ASNBA1,17,24.0
1986-87,39,LAL,NBA,C,78.0,78.0,31.3,7.2,12.7,0.56,0,0,0,7.2,12.7,0.56,0.56,3.1,4.4,0.71,1.9,4.8,6.7,2.6,0.6,1.2,2.4,3.1,17.5,AS,18,19.15
1987-88,40,LAL,NBA,C,80.0,80.0,28.9,6.0,11.3,0.53,0,0,0,6.0,11.3,0.53,0.53,2.6,3.4,0.76,1.5,4.5,6.0,1.7,0.6,1.2,2.0,2.7,14.6,AS,19,17.45
1988-89,41,LAL,NBA,C,74.0,74.0,22.9,4.2,8.9,0.48,0,0,0,4.2,8.9,0.48,0.48,1.6,2.2,0.74,1.4,3.1,4.5,1.0,0.5,1.1,1.3,2.6,10.1,AS,20,14.49
