Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season Number,PER
2003-04,19,CLE,NBA,SG,79,79,39.5,7.9,18.9,0.42,0.8,2.7,0.29,7.1,16.1,0.44,0.44,4.4,5.8,0.75,1.3,4.2,5.5,5.9,1.6,0.7,3.5,1.9,20.9,MVP-9ROY-1,1,18.24
2004-05,20,CLE,NBA,SF,80,80,42.4,9.9,21.1,0.47,1.4,3.9,0.35,8.6,17.2,0.5,0.5,6.0,8.0,0.75,1.4,6.0,7.4,7.2,2.2,0.7,3.3,1.8,27.2,MVP-6ASNBA2,2,23.37
2005-06,21,CLE,NBA,SF,79,79,42.5,11.1,23.1,0.48,1.6,4.8,0.34,9.5,18.3,0.52,0.52,7.6,10.3,0.74,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,MVP-2ASNBA1,3,26.56
2006-07,22,CLE,NBA,SF,78,78,40.9,9.9,20.8,0.48,1.3,4.0,0.32,8.6,16.8,0.51,0.51,6.3,9.0,0.7,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,MVP-5ASNBA2,4,23.71
2007-08,23,CLE,NBA,SF,75,74,40.4,10.6,21.9,0.48,1.5,4.8,0.32,9.1,17.1,0.53,0.52,7.3,10.3,0.71,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30.0,MVP-4ASNBA1,5,27.27
2008-09,24,CLE,NBA,SF,81,81,37.7,9.7,19.9,0.49,1.6,4.7,0.34,8.1,15.2,0.54,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4,MVP-1DPOY-2ASNBA1DEF1,6,28.31
2009-10,25,CLE,NBA,SF,76,76,39.0,10.1,20.1,0.5,1.7,5.1,0.33,8.4,15.0,0.56,0.55,7.8,10.2,0.77,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,MVP-1DPOY-4ASNBA1DEF1,7,27.98
2010-11,26,MIA,NBA,SF,79,79,38.8,9.6,18.8,0.51,1.2,3.5,0.33,8.4,15.3,0.55,0.54,6.4,8.4,0.76,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,26.7,MVP-3DPOY-9ASNBA1DEF1,8,25.15
2011-12,27,MIA,NBA,SF,62,62,37.5,10.0,18.9,0.53,0.9,2.4,0.36,9.1,16.5,0.56,0.55,6.2,8.1,0.77,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1,MVP-1DPOY-4ASNBA1DEF1,9,26.8
2012-13,28,MIA,NBA,PF,76,76,37.9,10.1,17.8,0.56,1.4,3.3,0.41,8.7,14.5,0.6,0.6,5.3,7.0,0.75,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8,MVP-1DPOY-2ASNBA1DEF1,10,26.83
2013-14,29,MIA,NBA,PF,77,77,37.7,10.0,17.6,0.57,1.5,4.0,0.38,8.5,13.6,0.62,0.61,5.7,7.6,0.75,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1,MVP-2DPOY-6ASNBA1DEF2,11,26.64
2014-15,30,CLE,NBA,SF,69,69,36.1,9.0,18.5,0.49,1.7,4.9,0.35,7.3,13.6,0.54,0.54,5.4,7.7,0.71,0.7,5.3,6.0,7.4,1.6,0.7,3.9,2.0,25.3,MVP-3DPOY-13ASNBA1,12,24.95
2015-16,31,CLE,NBA,SF,76,76,35.6,9.7,18.6,0.52,1.1,3.7,0.31,8.6,14.9,0.57,0.55,4.7,6.5,0.73,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,25.3,MVP-3DPOY-11ASNBA1,13,25.58
2016-17,32,CLE,NBA,SF,74,74,37.8,9.9,18.2,0.55,1.7,4.6,0.36,8.3,13.5,0.61,0.59,4.8,7.2,0.67,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,MVP-4DPOY-5ASNBA1,14,24.46
