Rk,Season,Lg,Age,Ht,Wt,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,TS%,unadj_PER,PER
1,2025-26,NBA,26.1,2026-06-07,216.0,1230.0,241.3,42.0,89.1,13.3,37.0,18.4,23.5,11.4,32.4,43.8,26.7,8.4,4.8,14.5,19.9,115.6,0.47,0.36,0.78,99.4,0.55,12.7,26.0,0.21,115.7,0.58,1.66,15.95
2,2024-25,NBA,26.3,2026-06-07,216.0,1230.0,241.3,41.7,89.2,13.5,37.6,16.9,21.7,11.1,33.0,44.1,26.5,8.2,4.9,14.3,18.6,113.8,0.47,0.36,0.78,98.8,0.54,12.6,25.2,0.19,114.5,0.58,1.63,15.75
3,2023-24,NBA,26.4,2026-06-06,217.0,1230.0,241.4,42.2,88.9,12.8,35.1,17.0,21.7,10.6,33.0,43.5,26.7,7.5,5.1,13.6,18.7,114.2,0.47,0.37,0.78,98.5,0.55,12.1,24.2,0.19,115.3,0.58,1.64,15.89
4,2022-23,NBA,26.1,2026-06-06,217.0,1230.0,241.8,42.0,88.3,12.3,34.2,18.4,23.5,10.4,33.0,43.4,25.3,7.3,4.7,14.1,20.0,114.7,0.48,0.36,0.78,99.2,0.55,12.5,24.0,0.21,114.8,0.58,1.64,15.81
5,2021-22,NBA,26.1,2026-06-06,216.0,1230.0,241.4,40.6,88.1,12.4,35.2,16.9,21.9,10.3,34.1,44.5,24.6,7.6,4.7,13.8,19.6,110.6,0.46,0.35,0.78,98.2,0.53,12.3,23.2,0.19,112.0,0.57,1.58,15.36
6,2020-21,NBA,26.1,2026-06-06,218.0,1080.0,241.4,41.2,88.4,12.7,34.6,17.0,21.8,9.8,34.5,44.3,24.8,7.6,4.9,13.8,19.3,112.1,0.47,0.37,0.78,99.2,0.54,12.4,22.2,0.19,112.3,0.57,1.6,15.43
7,2019-20,NBA,26.1,2026-06-06,218.0,1059.0,241.8,40.9,88.8,12.2,34.1,17.9,23.1,10.1,34.8,44.8,24.4,7.6,4.9,14.5,20.8,111.8,0.46,0.36,0.77,100.3,0.53,12.8,22.5,0.2,110.6,0.56,1.6,15.21
8,2018-19,NBA,26.3,2026-06-06,220.0,1230.0,241.6,41.1,89.2,11.4,32.0,17.7,23.1,10.3,34.8,45.2,24.6,7.6,5.0,14.1,20.9,111.2,0.46,0.36,0.77,100.0,0.52,12.4,22.9,0.2,110.4,0.56,1.59,15.22
9,2017-18,NBA,26.4,2026-06-07,221.0,1230.0,241.4,39.6,86.1,10.5,29.0,16.6,21.7,9.7,33.8,43.5,23.2,7.7,4.8,14.3,19.9,106.3,0.46,0.36,0.77,97.3,0.52,13.0,22.3,0.19,108.6,0.56,1.53,14.99
10,2016-17,NBA,26.6,2026-06-07,222.0,1230.0,241.6,39.0,85.4,9.7,27.0,17.8,23.1,10.1,33.4,43.5,22.6,7.7,4.7,14.0,19.9,105.6,0.46,0.36,0.77,96.4,0.51,12.7,23.3,0.21,108.8,0.55,1.52,15.05
11,2015-16,NBA,26.7,2026-06-07,222.0,1230.0,241.8,38.2,84.6,8.5,24.1,17.7,23.4,10.4,33.3,43.8,22.3,7.8,5.0,14.4,20.3,102.7,0.45,0.35,0.76,95.8,0.5,13.2,23.8,0.21,106.4,0.54,1.48,14.76
12,2014-15,NBA,26.7,2026-06-07,223.0,1230.0,242.0,37.5,83.6,7.8,22.4,17.1,22.8,10.9,32.4,43.3,22.0,7.7,4.8,14.4,20.2,100.0,0.45,0.35,0.75,93.9,0.5,13.3,25.1,0.2,105.6,0.53,1.44,14.68
13,2013-14,NBA,26.5,2026-06-07,223.0,1230.0,242.0,37.7,83.0,7.7,21.5,17.8,23.6,10.9,31.8,42.7,22.0,7.7,4.7,14.6,20.7,101.0,0.45,0.36,0.76,93.9,0.5,13.6,25.5,0.22,106.6,0.54,1.46,14.85
14,2012-13,NBA,26.7,2026-06-07,223.0,1229.0,241.9,37.1,82.0,7.2,20.0,16.7,22.2,11.2,31.0,42.1,22.1,7.8,5.1,14.6,19.8,98.1,0.45,0.36,0.75,92.0,0.5,13.7,26.5,0.2,105.8,0.54,1.42,14.79
15,2011-12,NBA,26.6,2026-06-07,223.0,990.0,241.9,36.5,81.4,6.4,18.4,16.9,22.5,11.4,30.8,42.2,21.0,7.7,5.1,14.6,19.6,96.3,0.45,0.35,0.75,91.3,0.49,13.8,27.0,0.21,104.6,0.53,1.4,14.64
16,2010-11,NBA,26.6,2026-06-07,223.0,1230.0,241.9,37.2,81.2,6.5,18.0,18.6,24.4,10.9,30.5,41.4,21.5,7.3,4.9,14.3,20.7,99.6,0.46,0.36,0.76,92.1,0.5,13.4,26.4,0.23,107.3,0.54,1.45,15.01
17,2009-10,NBA,26.6,2026-06-07,222.0,1230.0,241.7,37.7,81.7,6.4,18.1,18.6,24.5,11.0,30.8,41.7,21.2,7.2,4.9,14.2,20.9,100.4,0.46,0.36,0.76,92.7,0.5,13.3,26.3,0.23,107.6,0.54,1.46,15.06
18,2008-09,NBA,26.6,2026-06-07,221.0,1230.0,241.7,37.1,80.9,6.6,18.1,19.1,24.7,11.0,30.3,41.3,21.0,7.3,4.8,14.0,21.0,100.0,0.46,0.37,0.77,91.7,0.5,13.3,26.7,0.24,108.3,0.54,1.45,15.14
19,2007-08,NBA,26.8,2026-06-07,220.0,1230.0,241.5,37.3,81.5,6.6,18.1,18.8,24.9,11.2,30.8,42.0,21.8,7.3,4.7,14.1,21.0,99.9,0.46,0.36,0.76,92.4,0.5,13.2,26.7,0.23,107.5,0.54,1.45,15.03
20,2006-07,NBA,26.6,2026-06-07,219.0,1230.0,242.2,36.5,79.7,6.1,16.9,19.6,26.1,11.1,29.9,41.1,21.3,7.2,4.6,15.1,22.2,98.7,0.46,0.36,0.75,91.9,0.5,14.2,27.1,0.25,106.5,0.54,1.43,14.88
21,2005-06,NBA,26.5,2026-06-07,220.0,1230.0,242.1,35.8,79.0,5.7,16.0,19.6,26.3,11.2,29.8,41.0,20.6,7.2,4.7,14.4,22.8,97.0,0.45,0.36,0.74,90.5,0.49,13.7,27.3,0.25,106.2,0.54,1.41,14.88
22,2004-05,NBA,26.9,2026-06-07,220.0,1230.0,241.9,35.9,80.3,5.6,15.8,19.7,26.1,12.0,29.8,41.9,21.3,7.5,4.9,14.5,22.6,97.2,0.45,0.36,0.76,90.9,0.48,13.6,28.7,0.24,106.1,0.53,1.42,14.88
23,2003-04,NBA,27.0,2026-06-07,220.0,1189.0,241.7,35.0,79.8,5.2,14.9,18.2,24.2,12.1,30.1,42.2,21.3,7.9,5.1,15.0,21.4,93.4,0.44,0.35,0.75,90.1,0.47,14.2,28.6,0.23,102.9,0.52,1.37,14.47
24,2002-03,NBA,27.2,2026-06-07,219.0,1189.0,242.0,35.7,80.8,5.1,14.7,18.5,24.4,12.0,30.3,42.3,21.5,7.9,5.0,14.9,21.8,95.1,0.44,0.35,0.76,91.0,0.47,14.0,28.5,0.23,103.6,0.52,1.39,14.57
25,2001-02,NBA,27.4,2026-06-07,218.0,1189.0,241.7,36.2,81.3,5.2,14.7,17.9,23.8,12.2,30.2,42.4,21.9,7.8,5.2,14.5,21.2,95.5,0.44,0.35,0.75,90.7,0.48,13.6,28.9,0.22,104.5,0.52,1.4,14.71
26,2000-01,NBA,27.7,2026-06-07,217.0,1189.0,242.0,35.7,80.6,4.8,13.7,18.6,24.9,12.0,30.5,42.5,21.8,7.8,5.3,15.0,22.3,94.8,0.44,0.35,0.75,91.3,0.47,14.1,28.2,0.23,103.0,0.52,1.39,14.5
27,1999-00,NBA,27.8,2026-06-07,217.0,1189.0,241.5,36.8,82.1,4.8,13.7,19.0,25.3,12.4,30.5,42.9,22.3,7.9,5.2,15.5,23.3,97.5,0.45,0.35,0.75,93.1,0.48,14.2,28.9,0.23,104.1,0.52,1.43,14.66
28,1998-99,NBA,27.9,2026-06-07,216.0,725.0,241.8,34.2,78.2,4.5,13.2,18.8,25.8,12.6,29.1,41.7,20.7,8.4,5.0,15.3,22.2,91.6,0.44,0.34,0.73,88.9,0.47,14.6,30.2,0.24,102.2,0.51,1.34,14.43
29,1997-98,NBA,27.7,2026-06-07,215.0,1189.0,241.9,35.9,79.7,4.4,12.7,19.4,26.3,13.1,28.5,41.5,22.0,8.4,5.1,15.5,22.4,95.6,0.45,0.35,0.74,90.3,0.48,14.5,31.4,0.24,105.0,0.52,1.41,14.87
30,1996-97,NBA,27.7,2026-06-07,214.0,1189.0,241.9,36.1,79.3,6.0,16.8,18.7,25.3,12.7,28.4,41.1,22.0,8.2,4.9,15.7,22.1,96.9,0.46,0.36,0.74,90.1,0.49,14.8,30.8,0.24,106.7,0.54,1.42,15.0
31,1995-96,NBA,27.5,2026-06-07,214.0,1189.0,241.6,37.0,80.2,5.9,16.0,19.5,26.4,12.6,28.6,41.3,22.7,8.0,5.1,15.8,23.0,99.5,0.46,0.37,0.74,91.8,0.5,14.7,30.6,0.24,107.6,0.54,1.46,15.14
32,1994-95,NBA,27.2,2026-06-07,213.0,1107.0,241.9,38.0,81.5,5.5,15.3,19.9,27.1,13.0,28.5,41.6,23.4,8.3,5.2,15.9,23.5,101.4,0.47,0.36,0.74,92.9,0.5,14.6,31.4,0.24,108.3,0.54,1.49,15.29
33,1993-94,NBA,27.2,2026-06-07,212.0,1107.0,241.1,39.3,84.4,3.3,9.9,19.6,26.6,13.9,29.1,43.0,24.4,8.9,5.2,16.0,22.2,101.5,0.47,0.33,0.73,95.1,0.48,14.3,32.2,0.23,106.3,0.53,1.51,15.14
