Rk,Season,Lg,Age,Ht,Wt,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,TS%
1,2025-26,NBA,26.1,2026-06-07,216.0,1230.0,241.3,42.0,89.1,13.3,37.0,18.4,23.5,2.2800000000000002,6.4799999999999995,8.76,5.34,1.6800000000000002,0.96,2.9,3.9799999999999995,23.119999999999997,0.471,0.36,0.783,99.4,0.546,12.7,26.0,0.206,115.7,0.581
2,2024-25,NBA,26.3,2026-06-07,216.0,1230.0,241.3,41.7,89.2,13.5,37.6,16.9,21.7,2.2199999999999998,6.6,8.82,5.3,1.64,0.9800000000000001,2.8600000000000003,3.72,22.759999999999998,0.467,0.36,0.78,98.8,0.543,12.6,25.2,0.189,114.5,0.576
3,2023-24,NBA,26.4,2026-06-06,217.0,1230.0,241.4,42.2,88.9,12.8,35.1,17.0,21.7,2.12,6.6,8.7,5.34,1.5,1.02,2.7199999999999998,3.7399999999999998,22.84,0.474,0.366,0.784,98.5,0.547,12.1,24.2,0.192,115.3,0.58
4,2022-23,NBA,26.1,2026-06-06,217.0,1230.0,241.8,42.0,88.3,12.3,34.2,18.4,23.5,2.08,6.6,8.68,5.0600000000000005,1.46,0.9400000000000001,2.82,4.0,22.94,0.475,0.361,0.782,99.2,0.545,12.5,24.0,0.208,114.8,0.581
5,2021-22,NBA,26.1,2026-06-06,216.0,1230.0,241.4,40.6,88.1,12.4,35.2,16.9,21.9,2.06,6.82,8.9,4.92,1.52,0.9400000000000001,2.7600000000000002,3.9200000000000004,22.119999999999997,0.461,0.354,0.775,98.2,0.532,12.3,23.2,0.192,112.0,0.566
6,2020-21,NBA,26.1,2026-06-06,218.0,1080.0,241.4,41.2,88.4,12.7,34.6,17.0,21.8,1.9600000000000002,6.9,8.86,4.96,1.52,0.9800000000000001,2.7600000000000002,3.8600000000000003,22.419999999999998,0.466,0.367,0.778,99.2,0.538,12.4,22.2,0.192,112.3,0.572
7,2019-20,NBA,26.1,2026-06-06,218.0,1059.0,241.8,40.9,88.8,12.2,34.1,17.9,23.1,2.02,6.959999999999999,8.959999999999999,4.88,1.52,0.9800000000000001,2.9,4.16,22.36,0.46,0.358,0.773,100.3,0.529,12.8,22.5,0.201,110.6,0.565
8,2018-19,NBA,26.3,2026-06-06,220.0,1230.0,241.6,41.1,89.2,11.4,32.0,17.7,23.1,2.06,6.959999999999999,9.040000000000001,4.92,1.52,1.0,2.82,4.18,22.240000000000002,0.461,0.355,0.766,100.0,0.524,12.4,22.9,0.198,110.4,0.56
9,2017-18,NBA,26.4,2026-06-07,221.0,1230.0,241.4,39.6,86.1,10.5,29.0,16.6,21.7,1.94,6.76,8.7,4.64,1.54,0.96,2.8600000000000003,3.9799999999999995,21.259999999999998,0.46,0.362,0.767,97.3,0.521,13.0,22.3,0.193,108.6,0.556
10,2016-17,NBA,26.6,2026-06-07,222.0,1230.0,241.6,39.0,85.4,9.7,27.0,17.8,23.1,2.02,6.68,8.7,4.5200000000000005,1.54,0.9400000000000001,2.8,3.9799999999999995,21.119999999999997,0.457,0.358,0.772,96.4,0.514,12.7,23.3,0.209,108.8,0.552
11,2015-16,NBA,26.7,2026-06-07,222.0,1230.0,241.8,38.2,84.6,8.5,24.1,17.7,23.4,2.08,6.659999999999999,8.76,4.46,1.56,1.0,2.88,4.0600000000000005,20.54,0.452,0.354,0.757,95.8,0.502,13.2,23.8,0.209,106.4,0.541
12,2014-15,NBA,26.7,2026-06-07,223.0,1230.0,242.0,37.5,83.6,7.8,22.4,17.1,22.8,2.18,6.4799999999999995,8.66,4.4,1.54,0.96,2.88,4.04,20.0,0.449,0.35,0.75,93.9,0.496,13.3,25.1,0.205,105.6,0.534
13,2013-14,NBA,26.5,2026-06-07,223.0,1230.0,242.0,37.7,83.0,7.7,21.5,17.8,23.6,2.18,6.36,8.540000000000001,4.4,1.54,0.9400000000000001,2.92,4.14,20.2,0.454,0.36,0.756,93.9,0.501,13.6,25.5,0.215,106.6,0.541
14,2012-13,NBA,26.7,2026-06-07,223.0,1229.0,241.9,37.1,82.0,7.2,20.0,16.7,22.2,2.2399999999999998,6.2,8.42,4.42,1.56,1.02,2.92,3.96,19.619999999999997,0.453,0.359,0.753,92.0,0.496,13.7,26.5,0.204,105.8,0.535
15,2011-12,NBA,26.6,2026-06-07,223.0,990.0,241.9,36.5,81.4,6.4,18.4,16.9,22.5,2.2800000000000002,6.16,8.440000000000001,4.2,1.54,1.02,2.92,3.9200000000000004,19.259999999999998,0.448,0.349,0.752,91.3,0.487,13.8,27.0,0.208,104.6,0.527
16,2010-11,NBA,26.6,2026-06-07,223.0,1230.0,241.9,37.2,81.2,6.5,18.0,18.6,24.4,2.18,6.1,8.28,4.3,1.46,0.9800000000000001,2.8600000000000003,4.14,19.919999999999998,0.459,0.358,0.763,92.1,0.498,13.4,26.4,0.229,107.3,0.541
17,2009-10,NBA,26.6,2026-06-07,222.0,1230.0,241.7,37.7,81.7,6.4,18.1,18.6,24.5,2.2,6.16,8.34,4.24,1.44,0.9800000000000001,2.84,4.18,20.080000000000002,0.461,0.355,0.759,92.7,0.501,13.3,26.3,0.228,107.6,0.543
18,2008-09,NBA,26.6,2026-06-07,221.0,1230.0,241.7,37.1,80.9,6.6,18.1,19.1,24.7,2.2,6.0600000000000005,8.26,4.2,1.46,0.96,2.8,4.2,20.0,0.459,0.367,0.771,91.7,0.5,13.3,26.7,0.236,108.3,0.544
19,2007-08,NBA,26.8,2026-06-07,220.0,1230.0,241.5,37.3,81.5,6.6,18.1,18.8,24.9,2.2399999999999998,6.16,8.4,4.36,1.46,0.9400000000000001,2.82,4.2,19.98,0.457,0.362,0.755,92.4,0.497,13.2,26.7,0.231,107.5,0.54
20,2006-07,NBA,26.6,2026-06-07,219.0,1230.0,242.2,36.5,79.7,6.1,16.9,19.6,26.1,2.2199999999999998,5.9799999999999995,8.22,4.26,1.44,0.9199999999999999,3.02,4.4399999999999995,19.740000000000002,0.458,0.358,0.752,91.9,0.496,14.2,27.1,0.246,106.5,0.541
21,2005-06,NBA,26.5,2026-06-07,220.0,1230.0,242.1,35.8,79.0,5.7,16.0,19.6,26.3,2.2399999999999998,5.96,8.2,4.12,1.44,0.9400000000000001,2.88,4.5600000000000005,19.4,0.454,0.358,0.745,90.5,0.49,13.7,27.3,0.248,106.2,0.536
22,2004-05,NBA,26.9,2026-06-07,220.0,1230.0,241.9,35.9,80.3,5.6,15.8,19.7,26.1,2.4,5.96,8.379999999999999,4.26,1.5,0.9800000000000001,2.9,4.5200000000000005,19.44,0.447,0.356,0.756,90.9,0.482,13.6,28.7,0.245,106.1,0.529
23,2003-04,NBA,27.0,2026-06-07,220.0,1189.0,241.7,35.0,79.8,5.2,14.9,18.2,24.2,2.42,6.0200000000000005,8.440000000000001,4.26,1.58,1.02,3.0,4.279999999999999,18.68,0.439,0.347,0.752,90.1,0.471,14.2,28.6,0.228,102.9,0.516
24,2002-03,NBA,27.2,2026-06-07,219.0,1189.0,242.0,35.7,80.8,5.1,14.7,18.5,24.4,2.4,6.0600000000000005,8.459999999999999,4.3,1.58,1.0,2.98,4.36,19.02,0.442,0.349,0.758,91.0,0.474,14.0,28.5,0.229,103.6,0.519
25,2001-02,NBA,27.4,2026-06-07,218.0,1189.0,241.7,36.2,81.3,5.2,14.7,17.9,23.8,2.44,6.04,8.48,4.38,1.56,1.04,2.9,4.24,19.1,0.445,0.354,0.752,90.7,0.477,13.6,28.9,0.221,104.5,0.52
26,2000-01,NBA,27.7,2026-06-07,217.0,1189.0,242.0,35.7,80.6,4.8,13.7,18.6,24.9,2.4,6.1,8.5,4.36,1.56,1.06,3.0,4.46,18.96,0.443,0.354,0.748,91.3,0.473,14.1,28.2,0.231,103.0,0.518
