League Pace,LAL_Pace,CHI_Pace,MIL_Pace,WAS_Pace,MIA_Pace,CLE_Pace,Season
99.85,113.9,116.5,115.8,121.0,0.0,0.0,1969-70
110.21,115.7,109.7,113.4,116.5,0.0,110.6,1970-71
108.12,116.9,108.6,111.2,110.5,0.0,111.5,1971-72
107.1,112.0,104.5,108.3,108.7,0.0,108.3,1972-73
107.8,111.7,105.0,105.4,106.3,0.0,104.1,1973-74
104.5,106.4,99.7,102.1,106.1,0.0,100.4,1974-75
105.5,108.0,100.3,103.9,104.3,0.0,101.6,1975-76
106.5,104.7,100.0,108.3,105.9,0.0,101.5,1976-77
106.7,106.1,101.5,108.7,108.1,0.0,103.5,1977-78
105.8,105.9,102.9,106.5,106.5,0.0,102.7,1978-79
103.1,104.1,101.8,102.4,102.6,0.0,105.6,1979-80
101.8,102.7,100.6,103.6,102.4,0.0,100.8,1980-81
100.9,103.1,99.0,100.0,99.4,0.0,99.3,1981-82
103.1,103.8,106.1,100.0,99.4,0.0,97.6,1982-83
101.4,103.7,99.8,96.9,97.4,0.0,97.4,1983-84
102.1,103.2,99.4,99.7,100.3,0.0,101.9,1984-85
102.1,102.7,99.7,102.1,99.1,0.0,101.6,1985-86
100.8,101.6,95.8,100.3,100.2,0.0,101.3,1986-87
99.6,99.1,95.5,97.6,98.1,0.0,97.3,1987-88
100.6,100.1,97.0,98.6,100.8,99.1,98.0,1988-89
98.3,96.3,96.7,98.0,99.4,101.0,95.0,1989-90
97.8,94.1,95.6,96.1,97.5,99.3,95.1,1990-91
96.6,92.5,94.4,95.5,97.7,97.7,95.0,1991-92
96.8,96.2,92.5,96.1,97.7,94.6,94.8,1992-93
95.1,95.5,91.9,94.5,95.9,93.8,91.7,1993-94
92.9,95.2,92.0,92.7,94.5,92.9,84.8,1994-95
91.8,92.4,91.1,90.2,93.7,91.1,82.3,1995-96
90.1,91.1,90.0,89.5,92.4,88.2,82.9,1996-97
90.3,93.6,89.0,90.2,91.8,87.9,89.9,1997-98
88.9,91.6,88.1,87.0,89.8,84.8,86.4,1998-99
93.1,93.3,89.4,92.7,92.7,89.7,95.7,1999-00
91.3,91.7,89.3,92.1,92.7,87.1,91.2,2000-01
90.7,92.1,90.5,90.2,88.3,87.4,90.3,2001-02
91.0,92.5,93.5,90.4,88.2,87.8,94.0,2002-03
90.1,92.3,92.2,91.6,92.2,88.0,90.8,2003-04
90.9,90.8,92.4,90.8,93.3,90.8,89.7,2004-05
90.5,90.9,92.9,91.2,92.3,91.6,89.8,2005-06
91.9,93.5,93.6,92.3,94.1,89.9,90.8,2006-07
92.4,95.6,93.0,91.3,89.5,90.2,90.2,2007-08
91.7,94.3,93.1,92.6,91.0,89.9,88.7,2008-09
92.7,92.8,93.1,91.7,91.6,89.6,91.4,2009-10
92.1,90.7,90.4,89.8,93.8,90.9,93.0,2010-11
91.3,90.5,89.1,93.7,92.5,91.2,91.3,2011-12
92.0,94.4,89.3,94.7,92.2,90.7,92.3,2012-13
93.9,98.7,90.2,91.8,93.2,91.2,93.1,2013-14
93.9,94.0,92.8,94.1,93.7,90.9,92.3,2014-15
95.8,95.6,95.7,94.2,98.5,93.6,93.3,2015-16
96.4,98.5,95.3,94.5,97.4,95.2,96.2,2016-17
97.3,100.3,98.3,96.3,96.6,95.6,98.0,2017-18
100.0,103.2,99.0,103.3,101.4,98.2,96.6,2018-19
100.3,100.9,99.7,105.1,102.7,98.3,98.7,2019-20
99.2,98.7,99.0,102.2,104.1,96.6,97.3,2020-21
98.2,100.1,98.3,99.9,97.0,95.9,96.1,2021-22
99.2,101.3,98.5,100.5,98.6,96.3,95.7,2022-23
98.5,100.9,96.3,99.9,102.7,96.2,97.2,2023-24
98.8,97.6,102.8,99.3,100.9,96.2,99.8,2024-25
99.4,98.3,102.5,97.6,101.4,103.4,99.9,2025-26
